Domain,Base Domain,Canonical,Live,Redirect,Redirect To,Valid HTTPS,Defaults to HTTPS,Downgrades HTTPS,Strictly Forces HTTPS,HTTPS Bad Chain,HTTPS Bad Hostname,HSTS,HSTS Header,HSTS Max Age,HSTS All Subdomains,HSTS Preload Ready,HSTS Preloaded,Broken Root,Broken WWW
1.usa.gov,usa.gov,http://www.1.usa.gov,True,False,,False,False,True,False,False,True,False,,,False,False,False,False,False
1010ez.med.va.gov,va.gov,https://www.1010ez.med.va.gov,True,False,,False,True,False,True,True,False,False,,,False,False,False,True,False
1861.history.state.gov,state.gov,https://1861.history.state.gov,True,False,,True,True,False,True,False,False,True,max-age=7884000; includeSubdomains,7884000,True,False,False,False,True
18f.gsa.gov,gsa.gov,https://18f.gsa.gov,True,False,,True,True,False,True,False,False,False,,,False,False,True,False,True
1991.history.state.gov,state.gov,https://1991.history.state.gov,True,False,,True,True,False,True,False,False,True,max-age=7884000; includeSubdomains,7884000,True,False,False,False,True
1bts.rita.dot.gov,dot.gov,http://1bts.rita.dot.gov,True,False,,True,False,False,False,False,False,False,,,False,False,False,False,True
2010-2014.commerce.gov,commerce.gov,http://2010-2014.commerce.gov,True,False,,True,False,False,False,False,False,False,,,False,False,False,False,True
2014.spaceappschallenge.org,spaceappschallenge.org,https://2014.spaceappschallenge.org,True,False,,True,True,False,True,False,False,False,,,False,False,False,False,True
2016.export.gov,export.gov,http://2016.export.gov,False,False,,False,False,False,False,False,False,False,,,False,False,False,True,True
2bts.rita.dot.gov,dot.gov,http://2bts.rita.dot.gov,True,False,,False,False,False,False,True,False,False,,,False,False,False,False,True
360.cpsc.gov,cpsc.gov,http://360.cpsc.gov,False,False,,False,False,False,False,False,False,False,,,False,False,False,True,True
360preprod.cpsc.gov,cpsc.gov,http://360preprod.cpsc.gov,False,False,,False,False,False,False,False,False,False,,,False,False,False,True,True
3dparks.wr.usgs.gov,usgs.gov,http://3dparks.wr.usgs.gov,True,False,,False,False,False,False,False,True,False,,,False,False,False,False,True
5gmm.nist.gov,nist.gov,http://5gmm.nist.gov,False,False,,False,False,False,False,False,False,False,,,False,False,False,True,True
6mlmc.amedd.army.mil,army.mil,http://6mlmc.amedd.army.mil,True,False,,False,False,False,False,False,False,False,,,False,False,False,False,True
7-seas.gsfc.nasa.gov,nasa.gov,http://7-seas.gsfc.nasa.gov,True,False,,False,False,False,False,True,True,False,,,False,False,False,False,True
911.gov,911.gov,http://www.911.gov,True,False,,True,False,False,False,False,False,False,,,False,False,False,False,False
a-app-l-extwki1.nsf.gov,nsf.gov,http://a-app-l-extwki1.nsf.gov,False,False,,False,False,False,False,False,False,False,,,False,False,False,True,True
a-web-s-wwwtst1.nsf.gov,nsf.gov,http://a-web-s-wwwtst1.nsf.gov,False,False,,False,False,False,False,False,False,False,,,False,False,False,True,True
a130.cio.gov,cio.gov,https://a130.cio.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,False,False
aab.larc.nasa.gov,nasa.gov,http://aab.larc.nasa.gov,True,False,,False,False,False,False,True,True,False,,,False,False,False,False,True
aawu.arh.noaa.gov,noaa.gov,http://aawu.arh.noaa.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False,True
abfm.ksc.nasa.gov,nasa.gov,http://abfm.ksc.nasa.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False,True
abmc.gov,abmc.gov,http://abmc.gov,True,False,,True,False,False,False,False,False,False,,,False,False,False,False,False
about.usps.com,usps.com,http://about.usps.com,True,False,,False,False,False,False,True,False,False,,,False,False,False,False,True
above-dev.gsfc.nasa.gov,nasa.gov,http://above-dev.gsfc.nasa.gov,False,False,,False,False,False,False,False,False,False,,,False,False,False,True,True
above.nasa.gov,nasa.gov,http://above.nasa.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False,True
abp.cr.usgs.gov,usgs.gov,http://abp.cr.usgs.gov,True,False,,True,False,True,False,False,False,False,,,False,False,False,False,True
abudhabi.usembassy.gov,usembassy.gov,http://abudhabi.usembassy.gov,True,False,,False,False,False,False,True,False,False,,,False,False,False,False,True
acc.fiscal.treasury.gov,treasury.gov,http://acc.fiscal.treasury.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False,True
access-board.gov,access-board.gov,https://www.access-board.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,False,False
access.afsc.noaa.gov,noaa.gov,http://access.afsc.noaa.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False,True
access.cdc.gov,cdc.gov,https://access.cdc.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,False,True
access.co-ops.nos.noaa.gov,noaa.gov,http://access.co-ops.nos.noaa.gov,True,True,,True,False,False,False,False,False,False,,,False,False,False,False,True
access.trade.gov,trade.gov,https://access.trade.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,False,True
access.usgs.gov,usgs.gov,http://access.usgs.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False,True
accessdata.fda.gov,fda.gov,http://www.accessdata.fda.gov,True,False,,False,False,False,False,True,False,False,,,False,False,False,True,False
accessdata.fda.gov.ezproxyhhs.nihlibrary.nih.gov,nih.gov,http://www.accessdata.fda.gov.ezproxyhhs.nihlibrary.nih.gov,True,False,,False,False,False,False,False,True,False,,,False,False,False,False,False
accessgudid.nlm.nih.gov,nih.gov,https://accessgudid.nlm.nih.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,False,False
account.uspto.gov,uspto.gov,https://account.uspto.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,False,True
accountadmin.uspto.gov,uspto.gov,http://accountadmin.uspto.gov,False,False,,False,False,False,False,False,False,False,,,False,False,False,True,True
accweb.nascom.nasa.gov,nasa.gov,http://accweb.nascom.nasa.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False,True
acetool.commerce.gov,commerce.gov,http://acetool.commerce.gov,True,False,,True,False,True,False,False,False,False,,,False,False,False,False,True
acpolt.belvoir.army.mil,army.mil,http://acpolt.belvoir.army.mil,False,False,,False,False,False,False,False,False,False,,,False,False,False,True,True
acpt.nsf.gov,nsf.gov,http://acpt.nsf.gov,False,False,,False,False,False,False,False,False,False,,,False,False,False,True,True
acquia-dev.permits.performance.gov,performance.gov,http://acquia-dev.permits.performance.gov,True,True,,False,False,False,False,True,True,False,,,False,False,False,False,True
acquia-origin.safetydata.fra.dot.gov,dot.gov,http://acquia-origin.safetydata.fra.dot.gov,True,True,,False,False,False,False,True,True,False,,,False,False,False,False,True
acquia-stage.dot.gov,dot.gov,http://acquia-stage.dot.gov,True,True,,False,False,False,False,True,True,False,,,False,False,False,False,True
acquia-stage.permits.performance.gov,performance.gov,http://acquia-stage.permits.performance.gov,True,True,,False,False,False,False,True,True,False,,,False,False,False,False,True
acquia-test.dot.gov,dot.gov,http://acquia-test.dot.gov,True,True,,False,False,False,False,True,True,False,,,False,False,False,False,True
acquia-test.fmcsa.dot.gov,dot.gov,http://acquia-test.fmcsa.dot.gov,True,True,,False,False,False,False,True,True,False,,,False,False,False,False,True
acquia-test.fta.dot.gov,dot.gov,http://acquia-test.fta.dot.gov,True,True,,False,False,False,False,True,True,False,,,False,False,False,False,True
acquia-test.permits.performance.gov,performance.gov,http://acquia-test.permits.performance.gov,True,True,,False,False,False,False,True,True,False,,,False,False,False,False,True
acquia-test.seaway.dot.gov,dot.gov,http://acquia-test.seaway.dot.gov,True,True,,False,False,False,False,True,True,False,,,False,False,False,False,True
acquia-test.sustainablecommunities.gov,sustainablecommunities.gov,http://acquia-test.sustainablecommunities.gov,True,True,,False,False,False,False,True,True,False,,,False,False,False,False,True
acquia-test.volpe.dot.gov,dot.gov,http://acquia-test.volpe.dot.gov,True,True,,False,False,False,False,True,True,False,,,False,False,False,False,True
acquisition-uat.gsa.gov,gsa.gov,http://acquisition-uat.gsa.gov,True,True,,False,False,False,True,True,True,False,,,False,False,False,False,True
acquisition.gov,acquisition.gov,https://www.acquisition.gov,True,False,,False,True,False,True,True,False,False,,,False,False,False,False,False
acquisitionacademy.va.gov,va.gov,http://www.acquisitionacademy.va.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,True,False
acsweb2.acs.census.gov,census.gov,http://acsweb2.acs.census.gov,False,False,,False,False,False,False,False,False,False,,,False,False,False,True,True
actuary.defense.gov,defense.gov,http://actuary.defense.gov,True,False,,False,False,False,False,True,True,False,,,False,False,False,False,True
actuary.dod.afpims.mil,afpims.mil,http://www.actuary.dod.afpims.mil,True,True,,False,False,False,True,True,True,False,,,False,False,False,False,False
acwi.gov,acwi.gov,http://acwi.gov,True,False,,False,False,False,False,False,True,False,,,False,False,False,False,False
ad.hq.nasa.gov,nasa.gov,http://ad.hq.nasa.gov,True,False,,False,False,False,False,False,True,False,,,False,False,False,False,True
ada.gov,ada.gov,https://www.ada.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000;,31536000,False,False,False,False,False
ada.ndc.nasa.gov,nasa.gov,http://ada.ndc.nasa.gov,False,False,,False,False,False,False,False,False,False,,,False,False,False,True,True
adams.nrc.gov,nrc.gov,http://adams.nrc.gov,True,True,,False,False,False,False,True,False,False,,,False,False,False,False,True
adana.usconsulate.gov,usconsulate.gov,http://adana.usconsulate.gov,True,False,,False,False,False,False,True,False,False,,,False,False,False,False,True
admin-intb.myhealth.va.gov,va.gov,http://admin-intb.myhealth.va.gov,False,False,,False,False,False,False,False,False,False,,,False,False,False,True,True
admin-overseasbuildings.state.gov,state.gov,http://admin-overseasbuildings.state.gov,True,False,,False,False,False,False,True,True,False,,,False,False,False,False,True
admin.ahrq.gov,ahrq.gov,http://admin.ahrq.gov,False,False,,False,False,False,False,False,False,False,,,False,False,False,True,True
admin.eca.state.gov,state.gov,https://www.admin.eca.state.gov,True,False,,True,True,False,False,False,False,False,,,False,False,False,False,False
admin.globalchange.gov,globalchange.gov,http://admin.globalchange.gov,True,False,,True,False,True,False,False,False,False,,,False,False,False,False,True
admin.hmspermits.noaa.gov,noaa.gov,https://admin.hmspermits.noaa.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,False,True
admin.myhealth.va.gov,va.gov,http://admin.myhealth.va.gov,False,False,,False,False,False,False,False,False,False,,,False,False,False,True,True
admin.science.nasa.gov,nasa.gov,http://admin.science.nasa.gov,True,True,,False,False,False,True,True,True,False,,,False,False,False,False,True
adr.gov,adr.gov,https://www.adr.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,False,False
adr.stg.doj.gov,doj.gov,http://adr.stg.doj.gov,False,False,,False,False,False,False,False,False,False,,,False,False,False,True,True
adsorbents.nist.gov,nist.gov,http://adsorbents.nist.gov,True,False,,False,False,False,False,True,True,False,,,False,False,False,False,True
adt.larc.nasa.gov,nasa.gov,http://adt.larc.nasa.gov,True,False,,False,False,False,False,True,True,False,,,False,False,False,False,True
advisethepresident.archives.gov,archives.gov,http://www.advisethepresident.archives.gov,True,False,,True,False,False,False,False,False,False,,,False,False,False,False,False
advocacysba.sites.usa.gov,usa.gov,http://advocacysba.sites.usa.gov,True,False,,False,False,False,False,True,False,False,,,False,False,False,False,True
aero.larc.nasa.gov,nasa.gov,http://aero.larc.nasa.gov,True,False,,False,False,False,False,True,True,False,,,False,False,False,False,True
aerodev.hq.nasa.gov,nasa.gov,http://aerodev.hq.nasa.gov,False,False,,False,False,False,False,False,False,False,,,False,False,False,True,True
aeroelasticity.larc.nasa.gov,nasa.gov,http://aeroelasticity.larc.nasa.gov,True,False,,False,False,False,False,True,True,False,,,False,False,False,False,True
aeronautics.nasa.gov,nasa.gov,http://aeronautics.nasa.gov,True,False,,False,False,False,False,False,True,False,,,False,False,False,False,False
aeronav.faa.gov,faa.gov,http://www.aeronav.faa.gov,True,False,,False,False,True,False,False,True,False,,,False,False,False,False,False
aeronet-rdb.gsfc.nasa.gov,nasa.gov,http://aeronet-rdb.gsfc.nasa.gov,True,False,,False,False,False,False,True,True,False,,,False,False,False,False,True
aeronet.gsfc.nasa.gov,nasa.gov,http://aeronet.gsfc.nasa.gov,True,False,,False,False,False,False,True,False,False,,,False,False,False,False,True
afadvantage-test.fas.gsa.gov,gsa.gov,http://afadvantage-test.fas.gsa.gov,False,False,,False,False,False,False,False,False,False,,,False,False,False,True,True
afadvantage.gov,afadvantage.gov,https://afadvantage.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,False,False
afd.defense.gov,defense.gov,http://afd.defense.gov,True,False,,False,False,False,False,True,True,False,,,False,False,False,False,True
afd.dod.afpims.mil,afpims.mil,http://www.afd.dod.afpims.mil,True,True,,False,False,False,True,True,True,False,,,False,False,False,False,False
afdc.energy.gov,energy.gov,http://www.afdc.energy.gov,True,False,,True,False,True,False,False,False,False,,,False,False,False,False,False
afirm.mil,afirm.mil,http://www.afirm.mil,True,False,,False,False,False,False,False,False,False,,,False,False,False,False,False
afs.dod.afpims.mil,afpims.mil,http://www.afs.dod.afpims.mil,True,True,,False,False,False,True,True,True,False,,,False,False,False,False,False
afsc.noaa.gov,noaa.gov,http://www.afsc.noaa.gov,True,False,,True,False,False,False,False,False,False,,,False,False,False,True,False
afsic.nal.usda.gov,usda.gov,https://afsic.nal.usda.gov,True,False,,True,True,False,True,False,False,True,max-age=63072000; includeSubDomains,63072000,True,False,False,False,True
afterdeployment.dcoe.mil,dcoe.mil,http://afterdeployment.dcoe.mil,True,False,,False,False,False,False,True,False,False,,,False,False,False,False,False
afvec.langley.af.mil,af.mil,http://afvec.langley.af.mil,True,True,,False,False,False,True,True,False,False,,,False,False,False,False,True
agcensus.usda.gov,usda.gov,https://agcensus.usda.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,False,False
agclass.nal.usda.gov,usda.gov,http://agclass.nal.usda.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False,True
agdc.usgs.gov,usgs.gov,http://agdc.usgs.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False,True
